============================================================
RELATÓRIO DE DETECÇÃO DE ANOMALIAS
============================================================

Total de registros analisados: 850
Anomalias detectadas: 43
Taxa de anomalias: 5.06%
Acurácia do modelo: 99.18%

Top 10 Anomalias Detectadas:
              timestamp  tentativas_login  requisicoes_http  bytes_transferidos  tempo_resposta_ms
803 2024-01-01 13:23:00         62.788658        605.811833       397424.731636        5077.156496
804 2024-01-01 13:24:00         40.476836        536.761984       610082.139842        4406.188592
805 2024-01-01 13:25:00         43.230049        514.808942       606137.096487        4834.368590
806 2024-01-01 13:26:00         42.273406        411.893166       553200.619882        5078.577030
807 2024-01-01 13:27:00         58.301918        428.777924       536166.106125        2871.265906
808 2024-01-01 13:28:00         59.003986        618.673462       676118.812487        5458.168115
809 2024-01-01 13:29:00         54.512253        643.633541       499968.632739        4020.278775
810 2024-01-01 13:30:00         61.834937        476.188956       381812.587458        3846.667597
811 2024-01-01 13:31:00         38.219591        504.600275       544947.391283        3312.655653
812 2024-01-01 13:32:00         66.672241        409.538563       708604.704954        3206.107502
