timestamp,ip,usuario,sucesso,localizacao,tentativas_intervalo,origem_confiavel,tipo
2026-01-14 14:53:59.329182,192.168.1.39,diana,1,Portugal,1,1,normal
2026-01-14 14:54:59.329182,192.168.1.62,carlos,1,Portugal,2,1,normal
2026-01-14 14:54:59.329182,192.168.1.32,carlos,1,EUA,3,1,normal
2026-01-14 15:00:59.329182,192.168.1.37,carlos,1,Portugal,1,1,normal
2026-01-14 15:01:59.329182,192.168.1.7,fernanda,1,Portugal,2,1,normal
2026-01-14 15:03:59.329182,192.168.1.7,carlos,1,EUA,3,1,normal
2026-01-14 15:04:59.329182,192.168.1.39,eduardo,1,Portugal,2,1,normal
2026-01-14 15:04:59.329182,192.168.1.86,bob,1,Portugal,3,1,normal
2026-01-14 15:06:59.329182,192.168.1.10,bob,1,Portugal,1,1,normal
2026-01-14 15:06:59.329182,192.168.1.39,diana,1,Portugal,1,1,normal
2026-01-14 15:08:59.329182,192.168.1.30,eduardo,1,EUA,1,1,normal
2026-01-14 15:09:59.329182,192.168.1.57,fernanda,1,Brasil,2,1,normal
2026-01-14 15:12:59.329182,192.168.1.89,eduardo,1,Canadá,2,1,normal
2026-01-14 15:12:59.329182,192.168.1.7,bob,1,EUA,3,1,normal
2026-01-14 15:12:59.329182,192.168.1.29,alice,1,Canadá,1,1,normal
2026-01-14 15:12:59.329182,192.168.1.2,bob,1,Canadá,1,1,normal
2026-01-14 15:13:59.329182,192.168.1.28,fernanda,1,EUA,1,1,normal
2026-01-14 15:14:59.329182,192.168.1.35,alice,1,EUA,2,1,normal
2026-01-14 15:15:59.329182,192.168.1.74,fernanda,1,Brasil,2,1,normal
2026-01-14 15:15:59.329182,192.168.1.14,eduardo,1,Canadá,3,1,normal
2026-01-14 15:16:59.329182,192.168.1.98,fernanda,1,EUA,1,1,normal
2026-01-14 15:16:59.329182,192.168.1.45,carlos,1,Brasil,3,1,normal
2026-01-14 15:18:59.329182,192.168.1.13,alice,1,Canadá,3,1,normal
2026-01-14 15:18:59.329182,192.168.1.25,diana,1,Portugal,3,1,normal
2026-01-14 15:19:59.329182,192.168.1.79,eduardo,1,Brasil,3,1,normal
2026-01-14 15:23:59.329182,192.168.1.39,alice,1,EUA,2,1,normal
2026-01-14 15:23:59.329182,192.168.1.39,alice,1,Brasil,1,1,normal
